Cattle_ID,Age_Months,Weight_kg,Breed,Disease_Status,Body_Condition
COW00000,21,627.0,Brown Swiss,Foot and Mouth,3.8
COW00001,95,492.0,Guernsey,Healthy,3.1
COW00002,82,481.7,Ayrshire,Healthy,3.8
COW00003,59,586.8,Guernsey,Healthy,4.0
COW00004,58,629.1,Jersey,Healthy,3.0
COW00005,104,553.2,Holstein,Bloat,2.6
COW00006,21,447.1,Guernsey,Healthy,3.0
COW00007,87,441.2,Brown Swiss,Healthy,4.0
COW00008,33,435.8,Ayrshire,Healthy,4.0
COW00009,22,408.6,Brown Swiss,Foot and Mouth,4.2
COW00010,68,558.8,Brown Swiss,Healthy,2.4
COW00011,117,640.0,Jersey,Healthy,4.5
COW00012,91,548.9,Holstein,Healthy,4.1
COW00013,94,369.2,Ayrshire,Healthy,2.1
COW00014,89,534.7,Ayrshire,Foot and Mouth,3.0
COW00015,96,537.0,Holstein,Healthy,3.4
COW00016,67,717.7,Guernsey,Healthy,3.1
COW00017,25,433.4,Jersey,Healthy,2.4
COW00018,102,518.7,Brown Swiss,Healthy,2.6
COW00019,60,686.5,Ayrshire,Healthy,2.1
COW00020,66,586.0,Ayrshire,Foot and Mouth,2.3
COW00021,52,595.1,Holstein,Healthy,2.8
COW00022,31,559.2,Jersey,Healthy,4.5
COW00023,112,576.4,Ayrshire,Healthy,3.6
COW00024,96,612.2,Ayrshire,Mastitis,3.3
COW00025,81,485.2,Holstein,Healthy,4.0
COW00026,55,620.2,Ayrshire,Healthy,3.6
COW00027,100,440.2,Brown Swiss,Healthy,2.4
COW00028,70,576.3,Brown Swiss,Healthy,2.7
COW00029,59,564.3,Holstein,Ketosis,2.7
COW00030,60,500.7,Guernsey,Healthy,3.8
COW00031,36,548.2,Guernsey,Healthy,3.4
COW00032,21,500.2,Guernsey,Healthy,3.2
COW00033,71,464.3,Guernsey,Healthy,3.7
COW00034,107,521.7,Ayrshire,Healthy,4.9
COW00035,18,461.7,Ayrshire,Healthy,2.9
COW00036,104,575.8,Guernsey,Healthy,3.6
COW00037,101,458.0,Ayrshire,Foot and Mouth,3.4
COW00038,41,607.0,Guernsey,Foot and Mouth,4.1
COW00039,80,455.5,Guernsey,Healthy,4.2
COW00040,29,504.7,Brown Swiss,Ketosis,4.2
COW00041,93,500.0,Guernsey,Ketosis,2.6
COW00042,87,656.0,Holstein,Healthy,3.3
COW00043,50,576.4,Brown Swiss,Healthy,4.4
COW00044,19,533.1,Brown Swiss,Healthy,3.1
COW00045,116,589.9,Ayrshire,Healthy,5.0
COW00046,60,381.4,Holstein,Healthy,3.1
COW00047,108,546.5,Guernsey,Healthy,3.5
COW00048,85,709.8,Holstein,Ketosis,3.4
COW00049,96,560.6,Ayrshire,Healthy,3.3
COW00050,94,555.4,Ayrshire,Mastitis,4.5
COW00051,33,593.9,Jersey,Healthy,2.5
COW00052,51,621.6,Ayrshire,Healthy,3.7
COW00053,62,390.2,Brown Swiss,Foot and Mouth,3.9
COW00054,65,415.4,Ayrshire,Healthy,4.6
COW00055,16,566.8,Guernsey,Healthy,3.8
COW00056,71,492.8,Holstein,Healthy,4.9
COW00057,28,655.0,Jersey,Mastitis,4.6
COW00058,92,524.8,Brown Swiss,Healthy,3.0
COW00059,85,395.2,Jersey,Healthy,4.6
COW00060,111,448.6,Holstein,Healthy,4.9
COW00061,92,330.0,Ayrshire,Healthy,2.8
COW00062,51,531.3,Ayrshire,Healthy,3.8
COW00063,116,534.9,Brown Swiss,Healthy,2.8
COW00064,56,516.0,Jersey,Healthy,3.9
COW00065,47,636.3,Holstein,Healthy,2.3
COW00066,109,645.9,Ayrshire,Healthy,4.2
COW00067,52,536.4,Jersey,Mastitis,3.3
COW00068,20,379.2,Holstein,Healthy,3.8
COW00069,62,599.4,Jersey,Healthy,2.1
COW00070,97,594.4,Brown Swiss,Healthy,4.1
COW00071,32,574.8,Guernsey,Ketosis,3.5
COW00072,61,628.5,Jersey,Healthy,3.9
COW00073,26,456.8,Ayrshire,Healthy,2.9
COW00074,86,710.7,Guernsey,Healthy,2.4
COW00075,63,473.2,Ayrshire,Healthy,3.3
COW00076,47,609.9,Jersey,Healthy,4.8
COW00077,36,415.0,Guernsey,Healthy,2.7
COW00078,72,475.6,Jersey,Healthy,4.0
COW00079,84,671.3,Guernsey,Healthy,2.1
COW00080,113,529.1,Guernsey,Mastitis,4.2
COW00081,59,617.2,Jersey,Mastitis,2.7
COW00082,29,569.0,Ayrshire,Healthy,3.4
COW00083,101,541.6,Ayrshire,Bloat,3.1
COW00084,80,659.1,Ayrshire,Mastitis,2.3
COW00085,87,531.1,Jersey,Foot and Mouth,3.0
COW00086,22,407.5,Guernsey,Mastitis,3.1
COW00087,45,485.7,Holstein,Healthy,3.6
COW00088,94,594.1,Holstein,Healthy,4.9
COW00089,101,581.6,Ayrshire,Healthy,3.4
COW00090,59,424.6,Holstein,Healthy,4.7
COW00091,98,492.1,Ayrshire,Healthy,3.4
COW00092,102,503.5,Brown Swiss,Healthy,2.3
COW00093,53,520.8,Jersey,Healthy,2.7
COW00094,108,439.9,Holstein,Bloat,3.2
COW00095,43,499.7,Guernsey,Mastitis,3.0
COW00096,37,491.7,Guernsey,Healthy,4.6
COW00097,85,611.7,Brown Swiss,Healthy,4.0
COW00098,80,614.7,Ayrshire,Healthy,3.7
COW00099,27,538.3,Jersey,Bloat,3.5
COW00100,101,518.6,Brown Swiss,Mastitis,3.2
COW00101,33,561.2,Jersey,Healthy,3.8
COW00102,98,484.7,Brown Swiss,Healthy,2.4
COW00103,12,458.3,Holstein,Healthy,2.5
COW00104,98,474.8,Brown Swiss,Mastitis,2.9
COW00105,96,499.2,Brown Swiss,Ketosis,2.5
COW00106,96,456.9,Brown Swiss,Healthy,4.0
COW00107,83,563.0,Brown Swiss,Healthy,2.1
COW00108,62,608.4,Guernsey,Healthy,2.5
COW00109,88,423.0,Brown Swiss,Healthy,4.7
COW00110,41,552.0,Jersey,Ketosis,5.0
COW00111,96,532.4,Jersey,Mastitis,3.5
COW00112,72,577.3,Guernsey,Healthy,3.5
COW00113,61,549.0,Ayrshire,Healthy,4.3
COW00114,66,433.7,Guernsey,Healthy,2.1
COW00115,73,449.0,Guernsey,Healthy,3.3
COW00116,16,552.4,Ayrshire,Healthy,2.3
COW00117,27,632.3,Ayrshire,Foot and Mouth,3.2
COW00118,38,372.9,Brown Swiss,Mastitis,5.0
COW00119,24,577.7,Holstein,Healthy,4.3
COW00120,59,645.2,Guernsey,Mastitis,5.0
COW00121,84,537.8,Guernsey,Mastitis,4.2
COW00122,82,594.0,Jersey,Healthy,3.8
COW00123,62,493.8,Ayrshire,Healthy,4.3
COW00124,104,540.5,Ayrshire,Healthy,4.0
COW00125,73,420.3,Jersey,Foot and Mouth,3.4
COW00126,20,362.5,Brown Swiss,Healthy,2.9
COW00127,94,625.4,Holstein,Healthy,3.6
COW00128,74,471.2,Holstein,Healthy,2.8
COW00129,80,513.6,Jersey,Healthy,3.5
COW00130,73,439.1,Jersey,Healthy,2.4
COW00131,71,437.2,Jersey,Mastitis,3.7
COW00132,21,536.1,Holstein,Healthy,2.7
COW00133,72,491.6,Brown Swiss,Healthy,2.9
COW00134,97,580.2,Guernsey,Ketosis,3.5
COW00135,44,586.2,Jersey,Healthy,2.5
COW00136,77,575.7,Brown Swiss,Healthy,4.9
COW00137,15,569.1,Jersey,Healthy,3.3
COW00138,49,676.2,Guernsey,Healthy,3.1
COW00139,59,464.6,Guernsey,Healthy,2.1
COW00140,118,545.6,Ayrshire,Mastitis,4.5
COW00141,35,640.6,Holstein,Healthy,3.9
COW00142,41,651.2,Ayrshire,Healthy,3.2
COW00143,56,436.3,Jersey,Healthy,2.7
COW00144,119,525.0,Holstein,Foot and Mouth,4.2
COW00145,104,658.6,Guernsey,Healthy,4.8
COW00146,15,590.6,Holstein,Mastitis,3.1
COW00147,37,565.6,Holstein,Healthy,2.4
COW00148,100,532.6,Ayrshire,Healthy,2.3
COW00149,18,519.3,Jersey,Healthy,2.0
COW00150,104,573.1,Brown Swiss,Healthy,4.2
COW00151,42,529.8,Jersey,Healthy,4.9
