Cattle_ID,age,weight,Breed,Disease_Status,Body_Condition,feed,milk_output,Lactation_Stage,health_status,temperature,humidity,thi,feed_weight_ratio,feed_per_weight,temp_humidity,thi_squared,feed_thi_interaction,age_weight_ratio,anomaly_score,model_anomaly,anomaly_score_norm,extreme_heat_stress,abnormal_yield_drop,abnormal_feed_behaviour,anomaly_label,issue_tags
COW00000,21,627.0,Brown Swiss,Foot and Mouth,3.8,31.0,19.83,Late,1,30.69127027804523,95.0,56.42972298657915,0.049441786283891544,0.049441786283891544,2915.670676414297,3184.3136363420595,1749.3214125839536,0.03349282296650718,-0.05197988038282997,False,0.3300314224226497,False,False,True,Warning,abnormal feed behaviour
COW00001,95,492.0,Guernsey,Healthy,3.1,14.6,21.81,Mid,0,46.98075037250034,74.75201771894194,78.33936858941598,0.02967479674796748,0.02967479674796748,3511.9058842943336,6137.056670988375,1143.7547814054733,0.19308943089430894,-0.03312323671839801,False,0.40560879320796206,False,False,True,Warning,abnormal feed behaviour
COW00002,82,481.7,Ayrshire,Healthy,3.8,31.7,16.66,Early,0,25.0,95.0,46.47,0.06580859456093004,0.06580859456093004,2375.0,2159.4609,1473.099,0.1702304338800083,-0.0123074148212019,False,0.48903854442571704,False,True,True,Warning,"abnormal yield drop, abnormal feed behaviour"
COW00003,59,586.8,Guernsey,Healthy,4.0,29.0,25.68,Early,0,18.0,81.57856535575989,33.73682835280735,0.049420586230402186,0.049420586230402186,1468.414176403678,1138.173587306786,978.3680222314132,0.1005453306066803,-0.018412576059091523,False,0.4645690766460171,False,False,False,Normal,none
COW00004,58,629.1,Jersey,Healthy,3.0,17.9,23.79,Mid,0,41.48912969934726,59.81303148726803,65.79413343617526,0.02845334604991257,0.02845334604991257,2481.5906210864046,4328.867994617235,1177.714988507537,0.09219519949133682,-0.09098896572654624,False,0.17368312632693778,False,False,False,Normal,none
COW00005,104,553.2,Holstein,Bloat,2.6,24.8,19.39,Mid,1,35.348467613916114,90.3286932561324,63.60125114396742,0.04483007953723789,0.04483007953723789,3192.980888171759,4045.119147078017,1577.311028370392,0.18799710773680403,-0.11915710900057785,False,0.06078529326394983,False,False,False,Normal,none
COW00006,21,447.1,Guernsey,Healthy,3.0,28.4,17.36,Mid,0,39.17426991295978,98.0,72.0182004450684,0.06352046522030864,0.06352046522030864,3839.0784514700586,5186.621195346051,2045.3168926399426,0.0469693580854395,-0.019680173578781046,False,0.4594885496202653,False,True,False,Warning,abnormal yield drop
COW00007,87,441.2,Brown Swiss,Healthy,4.0,19.7,16.21,Mid,0,25.604070153124695,77.89966598693042,45.611189348725254,0.04465095194922938,0.04465095194922938,1994.548512834348,2080.3805938052683,898.5404301698875,0.1971894832275612,-0.017658966757932104,False,0.4675895404461799,False,True,False,Warning,abnormal yield drop
COW00008,33,435.8,Ayrshire,Healthy,4.0,20.4,18.54,Mid,0,42.0,42.74090984909766,61.79649111835096,0.04681046351537402,0.04681046351537402,1795.1182136621019,3818.8063145404285,1260.6484188143595,0.07572280862781092,-0.07740164520962839,False,0.22814106587123456,False,False,False,Normal,none
COW00009,22,408.6,Brown Swiss,Foot and Mouth,4.2,25.3,17.21,Late,1,34.5858125757141,64.73167588052007,57.135264830931796,0.06191874694077337,0.06191874694077337,2238.79760971554,3264.4384873007116,1445.5222002225744,0.05384238864415076,-0.030363843038563543,False,0.41666843473244325,False,True,False,Warning,abnormal yield drop
COW00010,68,558.8,Brown Swiss,Healthy,2.4,16.6,18.52,Mid,0,38.155483051666145,40.0,56.42657966199938,0.029706513958482467,0.029706513958482467,1526.2193220666459,3183.958892351962,936.6812223891898,0.12168933428775949,-0.09740753481417164,False,0.1479575208332296,False,False,False,Normal,none
COW00011,117,640.0,Jersey,Healthy,4.5,16.1,24.14,Mid,0,26.00761351872719,84.61757452914843,47.02817183524624,0.02515625,0.02515625,2200.7011752461863,2211.648946165448,757.1535665474645,0.1828125,-0.00653451795542237,False,0.5121762976067538,False,False,False,Normal,none
COW00012,91,548.9,Holstein,Healthy,4.1,18.5,24.92,Mid,0,23.395231482655028,73.84691677545234,41.758886292879566,0.03370377117872108,0.03370377117872108,1727.6657122420684,1743.804584421645,772.539396418272,0.16578611768992532,-0.06022343777242162,False,0.2969912693333519,False,False,False,Normal,none
COW00013,94,369.2,Ayrshire,Healthy,2.1,27.3,19.46,Late,0,33.309267214746754,95.0,61.011217625806815,0.07394366197183098,0.07394366197183098,3164.3803854009416,3722.36867618356,1665.606241184526,0.25460455037919827,-0.01669503522944238,False,0.4714529750974766,False,False,False,Normal,none
COW00014,89,534.7,Ayrshire,Foot and Mouth,3.0,20.6,20.81,Mid,1,43.226836653943536,72.51038517857852,71.88391961572894,0.03852627641668225,0.03852627641668225,3134.394575828942,5167.29789932058,1480.8087440840163,0.16644847578081165,-0.10997280196594761,False,0.0975959680857733,False,False,False,Normal,none
COW00015,96,537.0,Holstein,Healthy,3.4,23.1,22.6,Early,0,42.0,52.01802002915677,64.35697352804726,0.043016759776536316,0.043016759776536316,2184.7568412245846,4141.820041689776,1486.646088497892,0.1787709497206704,-0.11652182792598803,False,0.07134749184192202,False,False,False,Normal,none
COW00016,67,717.7,Guernsey,Healthy,3.1,17.5,23.68,Early,0,52.0,98.0,94.84800000000001,0.024383447122753237,0.024383447122753237,5096.0,8996.143104000002,1659.8400000000001,0.09335376898425525,0.037507319446271725,True,0.6886958487320013,True,False,False,Warning,extreme heat stress
COW00017,25,433.4,Jersey,Healthy,2.4,17.5,16.18,Late,0,31.906393287954057,45.27396492273613,49.850952986787796,0.04037840332256576,0.04037840332256576,1444.5289305298554,2485.117513690927,872.3916772687865,0.05768343331795109,-0.0053450086857758095,False,0.5169438471624691,False,True,False,Warning,abnormal yield drop
COW00018,102,518.7,Brown Swiss,Healthy,2.6,25.7,19.55,Mid,0,23.924085213923092,91.10661568318045,44.216339884326004,0.049546944283786386,0.049546944283786386,2179.6424371565513,1955.0847127662385,1136.3599350271784,0.19664545980335452,-0.08296985637157933,False,0.20582369237218145,False,False,False,Normal,none
COW00019,60,686.5,Ayrshire,Healthy,2.1,16.0,22.5,Late,0,22.36654934815534,72.84494747148536,40.09646816647799,0.023306627822286964,0.023306627822286964,1629.2901123847607,1607.7267594253829,641.5434906636478,0.08739985433357611,-0.0368637728032003,False,0.3906167358913049,False,False,False,Normal,none
COW00020,66,586.0,Ayrshire,Foot and Mouth,2.3,26.0,22.75,Mid,1,32.0,98.0,59.248,0.04436860068259386,0.04436860068259386,3136.0,3510.325504,1540.4479999999999,0.11262798634812286,-0.12411576820246845,False,0.040911002177558047,False,False,False,Normal,none
COW00021,52,595.1,Holstein,Healthy,2.8,21.2,21.97,Mid,0,33.36884303597435,48.835872892531285,52.358674503011684,0.03562426482944043,0.03562426482944043,1629.5965770756711,2741.430795712326,1110.0038994638476,0.08738027222315577,-0.1184052413538928,False,0.06379877651824606,False,False,False,Normal,none
COW00022,31,559.2,Jersey,Healthy,4.5,26.1,21.24,Mid,0,26.168476105146276,72.30626461315521,45.84412635764003,0.04667381974248927,0.04667381974248927,1892.1447577817357,2101.683921495265,1196.5316979344047,0.05543633762517882,-0.07900899764332125,False,0.22169880217756258,False,False,False,Normal,none
COW00023,112,576.4,Ayrshire,Healthy,3.6,20.9,17.79,Late,0,33.07399415139791,93.71811028243393,60.36010975406069,0.03625954198473282,0.03625954198473282,3099.632231361284,3643.342849522252,1261.5262938598682,0.19430950728660654,-0.06848755952440222,False,0.26386869434178495,False,False,False,Normal,none
COW00024,96,612.2,Ayrshire,Mastitis,3.3,29.2,24.08,Late,1,27.912689459906105,95.0,51.567206554835685,0.0476968311009474,0.0476968311009474,2651.70549869108,2659.1767918690884,1505.762431401202,0.15681149950996406,-0.06984310268719973,False,0.2584356814444005,False,False,False,Normal,none
COW00025,81,485.2,Holstein,Healthy,4.0,15.0,21.03,Mid,0,48.906281512701995,58.0,75.53866848752875,0.030915086562242376,0.030915086562242376,2836.5643277367158,5706.09043686877,1133.0800273129312,0.16694146743610883,-0.054739749202483645,False,0.31896987653920994,False,False,True,Warning,abnormal feed behaviour
COW00026,55,620.2,Ayrshire,Healthy,3.6,30.1,28.71,Early,0,46.29466992678356,88.3831135281409,81.62523827224177,0.04853273137697517,0.04853273137697517,4091.6670678867217,6662.6795230002435,2456.9196719944775,0.08868107062237987,0.032578462294077015,True,0.6689410041706704,True,False,False,Warning,extreme heat stress
COW00027,100,440.2,Brown Swiss,Healthy,2.4,18.8,19.31,Early,0,30.327799326403234,59.06565558981865,50.070098554293374,0.04270786006360745,0.04270786006360745,1791.3313498104674,2507.0147692366513,941.3178528207154,0.2271694684234439,-0.07459342500280436,False,0.23939640396824047,False,False,False,Normal,none
