Model,Fold,R2,MAE,RMSE
Naive Baseline,1,-0.0003262549586249275,2.3093383333333333,2.857670208221784
Naive Baseline,2,-0.0032340116078943826,2.2625130555555555,2.8159323190435575
Naive Baseline,3,-0.001986104682330847,2.2863968333333333,2.830464872743227
Naive Baseline,4,-0.0046140995397867535,2.191353736111111,2.772265243220309
Naive Baseline,5,-0.01079708727878459,2.121339722222222,2.6448300042514807
Linear Regression,1,0.184045568768736,2.03787509152622,2.5809181162489554
Linear Regression,2,0.15064310382154067,2.0581130578212936,2.5909927477537433
Linear Regression,3,0.1476081567722901,2.0833769265878592,2.6106374433048805
Linear Regression,4,0.17816068509084415,1.975772832210103,2.507428755505043
Linear Regression,5,0.13646252597029962,1.930871994896102,2.4445918902094648
Decision Tree,1,-0.0004067927569790797,2.317628064340537,2.857785243608287
Decision Tree,2,0.021309768283994446,2.214883548918964,2.7812736134292386
Decision Tree,3,0.001395610696552696,2.235626210195499,2.825684408992118
Decision Tree,4,0.050785645349284536,2.111262960235514,2.6947426385731648
Decision Tree,5,-0.0021859660026817274,2.0681436589234883,2.633540069962827
Random Forest,1,0.17913610154490767,2.0530664605628126,2.588670957459201
Random Forest,2,0.14770602488866302,2.0676854019842916,2.5954687123281888
Random Forest,3,0.1534189365991413,2.0704663700108963,2.601723830792917
Random Forest,4,0.1852072836092844,1.9732247150714246,2.4966560407905107
Random Forest,5,0.16930268290237438,1.8893674465119663,2.3976576707435897
XGBoost,1,0.18853940888444798,2.030940616861979,2.573801146070636
XGBoost,2,0.17117879393384583,2.0384061513264977,2.5594786775951235
XGBoost,3,0.17440516451400667,2.047194705327352,2.5692738922501186
XGBoost,4,0.19541221421126154,1.9628624057769775,2.480972002052212
XGBoost,5,0.17096723050381613,1.8855104939778646,2.395254258247224
