Cattle_ID,age,weight,Breed,Disease_Status,Body_Condition,feed,milk_output,Lactation_Stage,health_status,temperature,humidity,thi,feed_weight_ratio,feed_per_weight,temp_humidity,thi_squared,feed_thi_interaction,age_weight_ratio
COW00000,21,627.0,Brown Swiss,Foot and Mouth,3.8,31.0,19.83,Late,1,30.69127027804523,95.0,56.42972298657915,0.049441786283891544,0.049441786283891544,2915.670676414297,3184.3136363420595,1749.3214125839536,0.03349282296650718
COW00001,95,492.0,Guernsey,Healthy,3.1,14.6,21.81,Mid,0,46.98075037250034,74.75201771894194,78.33936858941598,0.02967479674796748,0.02967479674796748,3511.9058842943336,6137.056670988375,1143.7547814054733,0.19308943089430894
COW00002,82,481.7,Ayrshire,Healthy,3.8,31.7,16.66,Early,0,25.0,95.0,46.47,0.06580859456093004,0.06580859456093004,2375.0,2159.4609,1473.099,0.1702304338800083
COW00003,59,586.8,Guernsey,Healthy,4.0,29.0,25.68,Early,0,18.0,81.57856535575989,33.73682835280735,0.049420586230402186,0.049420586230402186,1468.414176403678,1138.173587306786,978.3680222314132,0.1005453306066803
COW00004,58,629.1,Jersey,Healthy,3.0,17.9,23.79,Mid,0,41.48912969934726,59.81303148726803,65.79413343617526,0.02845334604991257,0.02845334604991257,2481.5906210864046,4328.867994617235,1177.714988507537,0.09219519949133682
COW00005,104,553.2,Holstein,Bloat,2.6,24.8,19.39,Mid,1,35.348467613916114,90.3286932561324,63.60125114396742,0.04483007953723789,0.04483007953723789,3192.980888171759,4045.119147078017,1577.311028370392,0.18799710773680403
COW00006,21,447.1,Guernsey,Healthy,3.0,28.4,17.36,Mid,0,39.17426991295978,98.0,72.0182004450684,0.06352046522030864,0.06352046522030864,3839.0784514700586,5186.621195346051,2045.3168926399426,0.0469693580854395
COW00007,87,441.2,Brown Swiss,Healthy,4.0,19.7,16.21,Mid,0,25.604070153124695,77.89966598693042,45.611189348725254,0.04465095194922938,0.04465095194922938,1994.548512834348,2080.3805938052683,898.5404301698875,0.1971894832275612
COW00008,33,435.8,Ayrshire,Healthy,4.0,20.4,18.54,Mid,0,42.0,42.74090984909766,61.79649111835096,0.04681046351537402,0.04681046351537402,1795.1182136621019,3818.8063145404285,1260.6484188143595,0.07572280862781092
COW00009,22,408.6,Brown Swiss,Foot and Mouth,4.2,25.3,17.21,Late,1,34.5858125757141,64.73167588052007,57.135264830931796,0.06191874694077337,0.06191874694077337,2238.79760971554,3264.4384873007116,1445.5222002225744,0.05384238864415076
COW00010,68,558.8,Brown Swiss,Healthy,2.4,16.6,18.52,Mid,0,38.155483051666145,40.0,56.42657966199938,0.029706513958482467,0.029706513958482467,1526.2193220666459,3183.958892351962,936.6812223891898,0.12168933428775949
COW00011,117,640.0,Jersey,Healthy,4.5,16.1,24.14,Mid,0,26.00761351872719,84.61757452914843,47.02817183524624,0.02515625,0.02515625,2200.7011752461863,2211.648946165448,757.1535665474645,0.1828125
COW00012,91,548.9,Holstein,Healthy,4.1,18.5,24.92,Mid,0,23.395231482655028,73.84691677545234,41.758886292879566,0.03370377117872108,0.03370377117872108,1727.6657122420684,1743.804584421645,772.539396418272,0.16578611768992532
