,MDI_importance,Perm_mean,Perm_std
weight,0.2206779,0.21905341447358512,0.02252971863368691
age,0.12036677,0.04068323999000737,0.012098481172581383
age_weight_ratio,0.09730988,0.0038355407682599653,0.006227404982629404
feed_weight_ratio,0.077131204,0.0025744676919700615,0.0018285561581778418
feed,0.056484718,0.0019984786212193127,0.001063965671787355
feed_thi_interaction,0.050285183,0.0015822470743273253,0.0010618867489009315
feed_per_weight,0.07489535,0.0009768363556848126,0.0007053551074466683
temperature,0.047567476,-0.0004063767816610997,0.00044458140729756866
health_status,0.041946173,-0.0004255969923388503,0.00013744142523986622
thi_squared,0.05798913,-0.0008446732961833736,0.0004690813892608456
humidity,0.048611924,-0.0011662782334156741,0.00047733780288432206
thi,0.0562944,-0.0014083565843797442,0.0008310030953506562
temp_humidity,0.050439835,-0.0037722960766685466,0.001221803426192859
