Temp_C,Feed_kg,THI,Stress_Level,Pred_L,Lower_L,Upper_L,PI_width_L
18,10,33.1,None,21.15,17.215,26.693,9.478
18,12,33.1,None,21.104,17.215,26.571,9.356
18,14,33.1,None,21.058,17.215,26.571,9.356
18,16,33.1,None,21.012,17.239,26.503,9.264
18,18,33.1,None,20.966,17.262,26.342,9.081
18,20,33.1,None,20.92,17.35,26.274,8.924
18,22,33.1,None,20.874,17.417,26.302,8.885
18,24,33.1,None,20.828,17.419,26.402,8.982
18,26,33.1,None,20.782,17.594,26.305,8.711
18,28,33.1,None,20.736,17.409,26.271,8.862
18,30,33.1,None,20.691,17.236,26.404,9.168
18,32,33.1,None,20.645,17.02,25.839,8.819
18,34,33.1,None,20.599,17.018,25.955,8.936
24,10,41.8,None,21.215,17.239,26.686,9.447
24,12,41.8,None,21.169,17.239,26.458,9.219
24,14,41.8,None,21.123,17.22,26.496,9.277
24,16,41.8,None,21.078,17.243,26.302,9.059
24,18,41.8,None,21.032,17.565,26.274,8.709
24,20,41.8,None,20.986,17.827,26.185,8.358
24,22,41.8,None,20.94,18.136,26.086,7.95
24,24,41.8,None,20.894,18.17,26.216,8.046
24,26,41.8,None,20.848,18.096,26.262,8.166
24,28,41.8,None,20.802,17.69,26.142,8.451
24,30,41.8,None,20.756,17.221,26.061,8.84
24,32,41.8,None,20.71,17.235,25.723,8.489
24,34,41.8,None,20.664,17.238,25.863,8.625
30,10,50.5,None,21.281,17.239,26.458,9.219
30,12,50.5,None,21.235,17.22,26.216,8.997
30,14,50.5,None,21.189,17.215,26.182,8.967
30,16,50.5,None,21.143,17.238,25.75,8.512
30,18,50.5,None,21.097,17.824,25.662,7.838
30,20,50.5,None,21.051,18.168,25.555,7.387
30,22,50.5,None,21.005,18.447,25.266,6.82
30,24,50.5,None,20.96,18.334,25.577,7.243
30,26,50.5,None,20.914,18.4,26.06,7.66
30,28,50.5,None,20.868,18.235,26.057,7.822
30,30,50.5,None,20.822,17.417,25.892,8.475
30,32,50.5,None,20.776,17.238,25.401,8.163
30,34,50.5,None,20.73,17.238,25.542,8.304
36,10,59.2,None,21.347,17.22,26.342,9.122
36,12,59.2,None,21.301,17.215,26.085,8.87
36,14,59.2,None,21.255,17.128,25.959,8.832
36,16,59.2,None,21.209,17.38,25.482,8.102
36,18,59.2,None,21.163,17.995,25.814,7.82
36,20,59.2,None,21.117,18.446,25.594,7.148
36,22,59.2,None,21.071,18.593,25.266,6.673
36,24,59.2,None,21.025,18.334,25.764,7.431
36,26,59.2,None,20.979,18.435,26.186,7.752
36,28,59.2,None,20.933,18.427,25.988,7.561
36,30,59.2,None,20.887,17.743,25.922,8.179
36,32,59.2,None,20.842,17.275,25.663,8.388
36,34,59.2,None,20.796,17.275,25.833,8.559
42,10,67.9,Mild,21.412,17.211,26.456,9.245
42,12,67.9,Mild,21.366,17.211,26.321,9.11
42,14,67.9,Mild,21.32,17.128,26.307,9.18
42,16,67.9,Mild,21.274,17.128,26.126,8.999
42,18,67.9,Mild,21.229,17.825,25.893,8.069
42,20,67.9,Mild,21.183,18.123,25.558,7.435
42,22,67.9,Mild,21.137,18.298,25.594,7.296
42,24,67.9,Mild,21.091,18.223,25.861,7.639
42,26,67.9,Mild,21.045,18.38,25.98,7.601
42,28,67.9,Mild,20.999,18.366,25.968,7.602
42,30,67.9,Mild,20.953,17.859,25.98,8.121
42,32,67.9,Mild,20.907,17.396,25.833,8.437
42,34,67.9,Mild,20.861,17.285,25.833,8.548
